title,dueDate,location,notes,link,typeOfOpportunity,approved,keywords
Cutty Hunk Island Artists’ Residency,01/06/2023 23:59,,"CIAR’s Fall Residency Program offers visual artists focused time and a uniquely supportive natural and human environment to develop their work. On a small island off the coast of Massachusetts, CIAR will host a group of twelve artists to use the island itself as their studio. ",https://www.cuttyhunkislandresidency.com/artists-fallresidency,"[""Residency""]",FALSE,[
ToftH School Cohort III,01/06/2023 23:59,,"ToftH School is designed to bring into existence a new practice located at the intersection of philosophical (conceptual) research, art practice, and technology. Admitted candidates are expected to live in the San Francisco Bay Area throughout the duration of the program, which is free to attend and comes with need-based assistance in the form of stipend funds (up to $50,000). ",https://tofth.org/page/apply,"[""Other""]",FALSE,[
Catskills Creative Residency for Playwrights,01/06/2023 23:59,,The Catskills Creative Residency invites two playwrights for a fully funded week-long stay in the Sullivan County Catskills of upstate New York. The residency includes accommodations in a lovely two-bedroom home in Livingston Manor. Each playwright receives a $200 travel and food stipend. Playwrights collaborate with director Eugenia Manwelyan and Catskills-based actors to workshop their plays. The residency culminates in a works-in-progress performance at the historic Tusten Theater in Narrowsburg.,https://www.aeinc.org/catskills-creative-residency,"[""Workshop"",""Residency""]",FALSE,[
On::View,01/06/2023 23:59,,"Located in the heart of Savannah’s Starland District at ARTS Southeast’s flagship project, Sulfur Studios, the ON::VIEW Artist Residency provides a free, high visibility studio space for an artist to complete a new project, to continue an in-progress endeavor, or to conduct research exploring conceptual, material, performative, and social practices.The Residency supports artists from across the globe, working in all media.",https://artssoutheast.org/onview-residency-app,"[""Residency""]",FALSE,[
Headlands Center for the Arts,05/06/2023 23:59,,"This fully sponsored artist residency and $10,000 prize will support an artist working in the social practice discipline. The award supports artists employing non-traditional media to creatively engage with social concerns of the day. ",https://www.headlands.org/programs/,"[""Residency""]",FALSE,[
NYSCA/NYFA Artists with Disabilities Grant,06/06/2023 23:59,New York,"The program will distribute $1,000 to New York State artists with a disability who have experienced financial hardship due to the COVID-19 crisis. The grant is open to visual, media, music, performing, literary, and multidisciplinary artists. ",https://www.nyfa.org/awards-grants/nysca-nyfa-artists-with-disabilities-grant/,"[""Grant""]",FALSE,[
Firelight Media William Greaves Research and Development Fund ,06/06/2023 23:59,,"The Fund provides up to $40,000 to mid-career nonfiction filmmakers from racially and ethnically underrepresented communities in the U.S, and in Mexico, Brazil, Puerto Rico, and Colombia, with a particular interest in those who identify as being of Indigenous and/or of African descent.",https://www.firelightmedia.tv/programs/william-greaves-fund,"[""Other""]",FALSE,[
Vilcek Prizes for Creative Promise in Design,12/06/2023 23:59,,"The Vilcek Foundation will award three Prizes for Creative Promise of $50,000 each to young, immigrant designers who demonstrate outstanding early achievement in design. Eligible categories include digital, graphic, product, and social design.",https://vilcek.org/prizes/vilcek-prizes-for-creative-promise/creative-promise-prizes-arts/,"[""Grant""]",FALSE,[
Museum of Contemporary Art Georgia Working Artist Project,14/06/2023 23:59,"Atlanta, GA","This year-long fellowship from MOCA GA champions established visual artists of merit who reside in the Atlanta region. Three fellows receive a solo exhibition, promotion, a studio apprentice, a full-color catalog, and a $15,000 stipend to create work over the course of the year. Applicants must both currently live in, and have studio space in the following counties: Cherokee, Clayton, Cobb, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Henry and Rockdale, and remain an Atlanta-based artist for the length of the grant period, until the exhibition’s end.",https://mocaga.org/wap-call-2023-2024/,"[""Grant""]",FALSE,[
"Vilnius Academy of Arts, SODAS 2123, and the Lithuanian Interdisciplinary Artists’ Association Symposium",15/06/2023 23:59,,"The Symposium is looking for contributors for the artistic and research-based gathering “Walking is Still Honest: About Being and Moving Together.” The call is open to artists, urban planners, art historians, cultural historians, philosophers, historians, sociologists, neuroscientists and other researchers who are interested in the act of walking, its various forms and cultural meanings, and the history, present and future of walking.",https://sodas2123.lt/en/opencall-walking-symposium/,"[""Other""]",FALSE,[
Mophradat Self Organizations Open Call,15/06/2023 23:59,,"The program supports projects in which arts practitioners take the initiative and join forces to define a mutual resource or interest that’s important for their work, and propose how to share or develop it. Informal groups or collectives across three different categories are supported: informal co-ops, topical assemblies, and ideas that haven’t yet been considered but fall under the notion of self-organization and working together. Priority will be given to proposals taking place within the Arab world.",https://mophradat.org/en/program/self-organizations/,"[""Other""]",FALSE,[
South Arts Jazz Road Tours,15/06/2023 23:59,,"Jazz Road Tours offer grants of up to $15,000 to develop jazz tours into communities across the country. The program supports small, three-to-six site tours at an array of venue types, often in rural communities and other areas traditionally underserved by the genre. Eligible artists are professional jazz artists, working solo or with a composer-led or collective jazz ensemble which consists of two to ten musicians.",https://www.southarts.org/artist-grants-fellowships/jazz-road/jazz-road-tours,"[""Grant""]",FALSE,[
Forman Arts Initiative and Philadelphia Foundation: Art Works,,,"Art Works accepts applications from local cultural nonprofit (or fiscally sponsored) organizations with annual operating budgets between $250,000 and $5 million as well as individual artists with a commitment to incorporating community perspectives into their work. Individual artists will each receive $50,00 over two years. Organization awards will range from $75,000-$150,000 over two years and can be used to support any aspect of an organization’s mission.",https://www.philafound.org/nonprofits/available-grants/special-initiative-grants/art-works/,"[""Other""]",FALSE,[
Laura Patricia Calle Grant,30/06/2023 23:59,,"This grant invites artists and art collectives to present proposals for a mural to be painted in the Metro Atlanta region. The mural should inform and promote awareness on the subject(s) of: Social Equality, Feminism, Immigrants’ Rights, LGBTQIA+ Rights, and Cultural Diversity.",https://www.livingwallsatl.com/laura-calle,"[""Grant""]",FALSE,[
The Ryan Hudak LGBTQ+ Playwright Award,,,"This $10,000 cash grant will support one New York State-based playwright who self-identifies as LGBTQ+. The application is open to New York State playwrights, including those who live within the five boroughs of New York City.",https://www.nyfa.org/awards-grants/the-ryan-hudak-lgbtq-playwright-award/,"[""Grant""]",FALSE,[
RedLine Contemporary Art Center INSITE Fund,30/06/2023 23:59,"Denver Metro and Front Range, Colorado","The INSITE Fund awards grants of up to $10,000 to public facing visual arts projects that take place beyond the studio, museum, art center, or traditional gallery setting. The Fund specifically seeks to support projects that expand the public’s understanding of the visual arts, and to make visible the often unseen and under-supported artistic activity while engaging communities around the work.",https://www.redlineart.org/insite-fund,"[""Grant""]",FALSE,[
